¥èï;¥ðàíñïîðòíîå ñðåäñòâî;15 äí.;1 ìåñ.;2 ìåñ.;3 ìåñ.;4 ìåñ.;5 ìåñ.;6 ìåñ.;7 ìåñ.;8 ìåñ.;9 ìåñ.;10 ìåñ.;11 ìåñ.;1 ãîä
sng;auto;694;1020;1 388;1 714;2 041;2 245;2 340;2 498;2 657;2 816;3 014;3 173;3 331
sng;bus;734;1 469;2 613;3 715;4 613;5 348;5 830;6 306;6 782;7 099;7 416;7 734;7 972
sng;truck;367;734;1 306;1 878;2 327;2 694;2 935;3 173;3 411;3 569;3 728;3 886;4 005
sng;trailer;159;241;400;560;725;884;1019;1019;1 054;1 054;1 094;1 094;1 134
sng;moto;81;163;326;449;530;653;713;753;793;832;872;912;951
===;;;;;;;;;;;;;;
eu;auto;952;1 516;2 620;3 600;4 557;5 720;6 731;7 742;7 928;8 134;8 185;8 259;8 333
eu;bus;3 578;4 970;7 455;9 941;12 426;14 911;17 396;19 881;22 366;24 851;27 337;29 822;32 307
eu;truck;2 246;2 982;5 368;7 555;9 741;11 929;14 116;16 303;18 489;20 676;22 665;24 653;26 641
eu;trailer;328;457;786;1 115;1 444;1 773;2 102;2 431;2 761;3 090;3 419;3 748;2 286
eu;moto;381;524;874;1 224;1 578;1 924;2 278;2 624;2 978;3 173;3 313;3 390;3 526
===;;;;;;;;;;;;;;
gos_sng;auto;694;1 020;1 388;1 714;2 041;2 245;2 340;2 498;2 657;2 816;3 014;3 173;3 331
gos_sng;bus;734;1 469;2 613;3 715;4 613;5 348;5 830;6 306;6 782;7 099;7 416;7 734;7 972
gos_sng;truck;367;734;1 306;1 878;2 327;2 694;2 935;3 173;3 411;3 569;3 728;3 886;4 005
gos_sng;trailer;159;241;400;560;725;884;1 019;1 019;1 054;1 054;1 094;1 094;1 134
gos_sng;moto;81;163;326;449;530;653;713;753;793;832;872;912;951
===;;;;;;;;;;;;;;
gos_eu;auto;952;1 516;2 620;3 600;4 557;5 720;6 731;7 742;7 928;8 134;8 185;8 259;8 333
gos_eu;bus;3 578;4 970;7 455;9 941;12 426;14 911;17 396;19 881;22 366;24 851;27 337;29 822;32 307
gos_eu;truck;2 246;2 982;5 368;7 555;9 741;11 929;14 116;16 303;18 489;20 676;22 665;24 653;26 641
gos_eu;trailer;328;457;786;1 115;1 444;1 773;2 102;2 431;2 761;3 090;3 419;3 748;2 286
gos_eu;moto;381;524;874;1 224;1 578;1 924;2 278;2 624;2 978;3 173;3 313;3 390;3 526
===;;;;;;;;;;;;;;
delivery;self;0;;;;;;;;;;;;
delivery;ua;0;;;;;;;;;;;;
delivery;ru;0;;;;;;;;;;;;
delivery;eu;0;;;;;;;;;;;;
